Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1961","1961","1000 ha","30580","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1961","1961","1000 ha","150","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1961","1961","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1962","1962","1000 ha","30690","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1962","1962","1000 ha","150","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1962","1962","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1963","1963","1000 ha","30730","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1963","1963","1000 ha","150","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1963","1963","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1964","1964","1000 ha","31200","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1964","1964","1000 ha","155","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1964","1964","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1965","1965","1000 ha","32080","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1965","1965","1000 ha","155","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1965","1965","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1966","1966","1000 ha","32260","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1966","1966","1000 ha","155","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1966","1966","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1967","1967","1000 ha","32310","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1967","1967","1000 ha","160","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1967","1967","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1968","1968","1000 ha","32010","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1968","1968","1000 ha","160","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1968","1968","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1969","1969","1000 ha","30540","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1969","1969","1000 ha","160","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1969","1969","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1970","1970","1000 ha","30700","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1970","1970","1000 ha","165","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1970","1970","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1971","1971","1000 ha","30320","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1971","1971","1000 ha","165","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1971","1971","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1972","1972","1000 ha","30340","A","Official figure",""
