Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1973","1973","t","58066","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1973","1973","t","2670","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1974","1974","t","362900","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1974","1974","t","60500","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1974","1974","t","2100","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1975","1975","t","443451","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1975","1975","t","108500","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1975","1975","t","1900","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1976","1976","t","511000","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1976","1976","t","117900","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1976","1976","t","2400","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1977","1977","t","554100","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1977","1977","t","157300","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1977","1977","t","5800","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1978","1978","t","684300","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1978","1978","t","187900","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1978","1978","t","7600","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1979","1979","t","775804","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1979","1979","t","201086","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1979","1979","t","9618","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1980","1980","t","843574","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1980","1980","t","226487","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1980","1980","t","9643","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1981","1981","t","832572","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1981","1981","t","225502","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1981","1981","t","21772","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1982","1982","t","954083","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1982","1982","t","265285","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1982","1982","t","24948","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1983","1983","t","914317","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1983","1983","t","261400","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1983","1983","t","28581","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1984","1984","t","934498","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1984","1984","t","293829","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1984","1984","t","24677","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1985","1985","t","1128138","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1985","1985","t","349776","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1985","1985","t","33205","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1986","1986","t","1332570","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1986","1986","t","409750","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1986","1986","t","42880","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1987","1987","t","1281700","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1987","1987","t","393400","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1987","1987","t","45100","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1988","1988","t","1324453","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1988","1988","t","390406","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1988","1988","t","24533","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1989","1989","t","1467590","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1989","1989","t","382457","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1989","1989","t","40078","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1990","1990","t","1471642","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1990","1990","t","388500","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1990","1990","t","32757","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1991","1991","t","1462862","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1991","1991","t","397974","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1991","1991","t","23297","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1992","1992","t","1636323","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1992","1992","t","487530","A","Official figure","Official data from questionnaire"
