Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","165","Pakistan","561","Urban population","3010","Population - Est. & Proj.","2013","2013","1000 No","64713.498","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","551","Rural population","3010","Population - Est. & Proj.","2013","2013","1000 No","116999.097","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","551","Rural population","3010","Population - Est. & Proj.","2014","2014","1000 No","119084.632","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","561","Urban population","3010","Population - Est. & Proj.","2014","2014","1000 No","66461.625","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 No","68226.783","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 No","121153.73","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","551","Rural population","3010","Population - Est. & Proj.","2016","2016","1000 No","123198.205","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","561","Urban population","3010","Population - Est. & Proj.","2016","2016","1000 No","70005.271","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","561","Urban population","3010","Population - Est. & Proj.","2017","2017","1000 No","71795.7","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","551","Rural population","3010","Population - Est. & Proj.","2017","2017","1000 No","125220.255","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","127183.388","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","73630.43","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","75510.639","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","129085.803","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 No","130924.605","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 No","77437.729","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","79411.956","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","132695.039","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","551","Rural population","3010","Population - Est. & Proj.","2022","2022","1000 No","134391.306","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","561","Urban population","3010","Population - Est. & Proj.","2022","2022","1000 No","81432.849","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","561","Urban population","3010","Population - Est. & Proj.","2023","2023","1000 No","83500.516","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","551","Rural population","3010","Population - Est. & Proj.","2023","2023","1000 No","136008.8","X","Figure from international organizations",""
